Selling_Price,Present_Price,Fuel_Type_Petrol,Transmission_Manual,Seller_Type_Dealer,Novo,Ano,0-10k,10k-20k,20k-30k,30k-40k,40k-50k,50k-60k,60k-70k,70k-80k,80k-90k,90k-100k,100k-110k,110k-120k,120k-300k
0.6,0.81,1,1,0,1,2012,0,1,0,0,0,0,0,0,0,0,0,0,0
0.55,0.787,1,1,0,1,2014,0,1,0,0,0,0,0,0,0,0,0,0,0
0.55,0.84,1,1,0,1,2015,0,0,0,0,0,1,0,0,0,0,0,0,0
0.52,0.94,1,1,0,1,2010,0,0,0,0,1,0,0,0,0,0,0,0,0
0.51,0.94,1,1,0,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5,0.826,1,1,0,1,2011,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.55,1,1,0,1,2016,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5,0.99,1,1,0,1,2012,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5,0.99,1,1,0,1,2013,0,0,0,0,1,0,0,0,0,0,0,0,0
0.5,0.88,1,1,0,1,2014,1,0,0,0,0,0,0,0,0,0,0,0,0
0.48,0.51,1,0,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
0.48,0.52,1,1,0,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
0.48,0.84,1,1,0,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
0.48,0.54,1,1,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0.51,1,0,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0.95,1,1,0,1,2011,0,0,1,0,0,0,0,0,0,0,0,0,0
0.45,0.826,1,1,0,1,2014,0,0,1,0,0,0,0,0,0,0,0,0,0
0.45,0.99,1,1,0,1,2012,0,1,0,0,0,0,0,0,0,0,0,0,0
0.45,0.95,1,1,0,1,2010,0,0,1,0,0,0,0,0,0,0,0,0,0
0.45,0.54,1,1,0,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
0.45,0.54,1,0,0,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0.55,1,1,0,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
0.42,0.81,1,1,0,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
0.42,0.73,1,1,0,1,2013,0,1,0,0,0,0,0,0,0,0,0,0,0
0.4,0.54,1,1,0,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
0.4,0.83,1,1,0,1,2012,1,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.55,1,1,0,1,2015,1,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.64,1,1,0,1,2014,0,1,0,0,0,0,0,0,0,0,0,0,0
0.4,0.51,1,0,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
0.38,0.72,1,1,0,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
0.38,0.787,1,1,0,1,2011,0,0,0,0,0,0,0,1,0,0,0,0,0
0.35,1.05,1,1,0,1,2011,0,0,1,0,0,0,0,0,0,0,0,0,0
0.35,0.57,1,0,0,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
0.35,0.52,1,0,0,1,2014,0,1,0,0,0,0,0,0,0,0,0,0,0
0.31,1.05,1,1,0,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,0.51,1,1,0,1,2012,0,0,0,0,0,1,0,0,0,0,0,0,0
0.3,0.48,1,1,0,1,2016,0,0,0,0,1,0,0,0,0,0,0,0,0
0.3,0.58,1,1,0,1,2013,0,0,1,0,0,0,0,0,0,0,0,0,0
0.27,0.47,1,1,0,1,2013,0,0,1,0,0,0,0,0,0,0,0,0,0
0.25,0.75,1,1,0,0,2008,0,0,1,0,0,0,0,0,0,0,0,0,0
0.25,0.58,1,0,0,1,2008,1,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.52,1,0,0,1,2010,0,0,1,0,0,0,0,0,0,0,0,0,0
0.25,0.51,1,1,0,1,2013,0,0,0,1,0,0,0,0,0,0,0,0,0
0.25,0.57,1,1,0,1,2013,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2,0.57,1,1,0,1,2005,0,0,0,0,0,1,0,0,0,0,0,0,0
0.2,0.75,1,1,0,1,2008,0,0,0,0,0,1,0,0,0,0,0,0,0
0.2,0.57,1,1,0,0,2012,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2,0.75,1,1,0,0,2007,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,0.65,1,1,0,0,2013,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2,0.787,1,1,0,1,2008,0,0,0,0,1,0,0,0,0,0,0,0,0
0.18,0.32,1,1,0,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
0.16,0.51,1,1,0,1,2010,0,0,0,1,0,0,0,0,0,0,0,0,0
0.15,0.57,1,1,0,0,2011,0,0,0,1,0,0,0,0,0,0,0,0,0
0.12,0.58,1,1,0,1,2007,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1,0.75,1,1,0,1,2006,0,0,0,0,0,0,0,0,0,1,0,0,0
3.25,6.79,0,1,1,0,2010,0,0,0,0,0,1,0,0,0,0,0,0,0
4.4,5.7,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
2.95,4.6,1,1,1,1,2011,0,0,0,0,0,1,0,0,0,0,0,0,0
2.75,4.43,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
5.25,5.7,1,1,1,0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
5.75,7.13,1,1,1,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
5.15,5.7,1,0,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
7.9,8.1,1,1,1,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
4.85,5.7,0,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
3.1,4.6,1,1,1,1,2012,0,0,0,1,0,0,0,0,0,0,0,0,0
11.75,14.79,0,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
11.25,13.6,1,1,1,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
2.9,6.79,1,1,1,1,2011,0,0,0,1,0,0,0,0,0,0,0,0,0
5.25,5.7,1,1,1,1,2017,0,0,1,0,0,0,0,0,0,0,0,0,0
4.5,9.4,1,1,1,1,2012,0,0,0,1,0,0,0,0,0,0,0,0,0
2.9,4.43,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
3.15,4.43,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
6.45,9.4,1,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
4.5,9.4,1,1,1,1,2012,0,0,0,1,0,0,0,0,0,0,0,0,0
3.5,4.43,1,1,1,1,2017,0,0,0,1,0,0,0,0,0,0,0,0,0
4.5,6.79,1,0,1,1,2013,0,0,0,1,0,0,0,0,0,0,0,0,0
6.0,7.6,0,1,1,1,2014,0,0,0,0,0,0,0,1,0,0,0,0,0
8.25,9.4,0,1,1,1,2015,0,0,0,0,0,0,1,0,0,0,0,0,0
5.11,9.4,1,0,1,1,2013,0,0,0,1,0,0,0,0,0,0,0,0,0
2.7,4.6,1,1,1,1,2011,0,0,1,0,0,0,0,0,0,0,0,0,0
5.25,5.7,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
2.55,4.43,1,1,1,1,2011,0,0,0,0,0,1,0,0,0,0,0,0,0
4.95,9.4,0,1,1,1,2012,0,0,0,0,0,1,0,0,0,0,0,0,0
3.1,6.79,0,1,1,1,2012,0,0,0,0,0,1,0,0,0,0,0,0,0
6.15,9.4,0,1,1,1,2013,0,0,0,0,1,0,0,0,0,0,0,0,0
9.25,9.4,1,1,1,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
11.45,14.79,1,0,1,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
3.9,5.7,0,1,1,1,2013,0,0,0,0,0,1,0,0,0,0,0,0,0
5.5,5.7,1,1,1,1,2015,1,0,0,0,0,0,0,0,0,0,0,0,0
9.1,9.4,1,1,1,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
3.1,4.43,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
11.25,13.6,0,1,1,1,2015,0,0,0,0,0,0,1,0,0,0,0,0,0
4.8,9.4,1,1,1,1,2013,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,4.43,1,1,1,1,2012,0,0,1,0,0,0,0,0,0,0,0,0,0
5.35,9.4,0,1,1,1,2012,0,0,0,1,0,0,0,0,0,0,0,0,0
4.75,7.13,1,1,1,0,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
4.4,7.13,1,1,1,1,2014,0,0,0,1,0,0,0,0,0,0,0,0,0
6.25,7.6,1,1,1,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
5.95,9.4,0,1,1,1,2013,0,0,0,0,1,0,0,0,0,0,0,0,0
5.2,9.4,0,1,1,1,2012,0,0,0,0,0,0,0,1,0,0,0,0,0
3.75,6.79,1,1,1,1,2012,0,0,0,1,0,0,0,0,0,0,0,0,0
5.95,9.4,1,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
4.0,4.6,1,1,1,1,2013,0,0,1,0,0,0,0,0,0,0,0,0,0
5.25,7.6,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
12.9,13.6,0,1,1,1,2016,0,0,0,1,0,0,0,0,0,0,0,0,0
5.0,9.9,1,1,1,1,2013,0,0,0,0,0,1,0,0,0,0,0,0,0
5.4,6.82,1,0,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
7.2,9.9,0,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
5.25,9.9,1,1,1,1,2013,0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,5.35,1,1,1,1,2012,0,0,0,0,0,1,0,0,0,0,0,0,0
10.25,13.6,1,1,1,1,2016,0,0,0,0,1,0,0,0,0,0,0,0,0
8.5,13.6,1,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
8.4,13.6,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
3.9,7.0,1,1,1,1,2014,0,0,0,1,0,0,0,0,0,0,0,0,0
9.15,13.6,1,1,1,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
5.5,5.97,1,1,1,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,5.8,1,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
6.6,7.7,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
4.0,7.0,1,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
6.5,8.7,1,1,1,1,2017,0,0,1,0,0,0,0,0,0,0,0,0,0
3.65,7.0,1,1,1,1,2014,0,0,0,1,0,0,0,0,0,0,0,0,0
8.35,9.4,0,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
4.8,5.8,1,1,1,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
6.7,10.0,1,1,1,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
4.1,10.0,1,1,1,1,2011,0,0,0,0,0,0,1,0,0,0,0,0,0
3.0,10.0,1,1,1,1,2009,0,0,0,0,0,0,1,0,0,0,0,0,0
7.5,10.0,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
2.25,7.5,1,1,1,1,2010,0,0,0,0,0,0,1,0,0,0,0,0,0
5.3,6.8,1,1,1,1,2014,0,1,0,0,0,0,0,0,0,0,0,0,0
10.9,13.6,1,0,1,1,2016,0,0,0,1,0,0,0,0,0,0,0,0,0
8.65,13.6,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
9.7,13.6,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
6.0,8.4,1,1,1,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
6.25,13.6,1,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
5.25,5.9,1,1,1,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
2.1,7.6,1,1,1,1,2006,0,0,0,0,0,1,0,0,0,0,0,0,0
8.25,14.0,0,1,1,1,2014,0,0,0,0,0,0,1,0,0,0,0,0,0
8.99,11.8,1,1,1,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
3.5,5.9,1,1,1,1,2013,1,0,0,0,0,0,0,0,0,0,0,0,0
7.4,8.5,1,0,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
5.65,7.9,1,1,1,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
5.75,7.5,1,0,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
8.4,13.6,1,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
10.11,13.6,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
4.5,6.4,1,1,1,1,2014,0,1,0,0,0,0,0,0,0,0,0,0,0
5.4,6.1,1,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
6.4,8.4,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
3.25,9.9,1,1,1,1,2010,0,0,0,1,0,0,0,0,0,0,0,0,0
3.75,6.8,1,1,1,1,2014,0,0,0,1,0,0,0,0,0,0,0,0,0
8.55,13.09,0,1,1,1,2015,0,0,0,0,0,0,1,0,0,0,0,0,0
9.5,11.6,0,1,1,1,2016,0,0,0,1,0,0,0,0,0,0,0,0,0
4.0,5.9,1,1,1,1,2015,0,0,0,0,0,1,0,0,0,0,0,0,0
3.35,11.0,1,1,1,1,2009,0,0,0,0,0,0,0,0,1,0,0,0,0
11.5,12.5,0,1,1,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
5.3,5.9,1,1,1,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
